TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
1611661330,2024,10,Naz Hillmon,Naz,naz-hillmon,00,F,6-2,190,"APR 05, 2000",24.0,2,Michigan,1631044,
1611661330,2024,10,Ezinne Kalu,Ezinne,ezinne-kalu,,G,5-8,,"JUN 26, 1992",32.0,R,Savannah State,1642534,
1611661330,2024,10,Jordin Canada,Jordin,jordin-canada,3,G,5-6,135,"AUG 11, 1995",29.0,6,UCLA,1628886,
1611661330,2024,10,Laeticia Amihere,Laeticia,laeticia-amihere,7,F,6-3,185,"JUL 10, 2001",23.0,1,South Carolina,1641656,
1611661330,2024,10,Rhyne Howard,Rhyne,rhyne-howard,10,G,6-2,175,"APR 29, 2000",24.0,2,Kentucky,1631009,
1611661330,2024,10,Nia Coffey,Nia,nia-coffey,12,F,6-1,182,"JUN 11, 1995",29.0,7,Northwestern,1628269,
1611661330,2024,10,Haley Jones,Haley,haley-jones,13,F-G,6-1,187,"MAY 23, 2001",23.0,1,Stanford,1641650,
1611661330,2024,10,Allisha Gray,Allisha,allisha-gray,15,G,6-0,167,"JAN 12, 1995",29.0,7,South Carolina,1628277,
1611661330,2024,10,Lorela Cubaj,Lorela,lorela-cubaj,19,F-C,6-4,200,"JAN 08, 1999",25.0,2,Georgia Tech,1631032,
1611661330,2024,10,Aerial Powers,Aerial,aerial-powers,23,G,5-11,170,"JAN 17, 1994",30.0,8,Michigan State,1627672,
1611661330,2024,10,Tina Charles,Tina,tina-charles,31,C,6-4,192,"DEC 05, 1988",35.0,12,Connecticut,202250,
1611661330,2024,10,Cheyenne Parker-Tyus,Cheyenne,cheyenne-parker-tyus,32,F,6-4,193,"AUG 22, 1992",32.0,9,Middle Tennessee,204323,
1611661330,2024,10,Maya Caldwell,Maya,maya-caldwell,33,G,5-11,160,"DEC 15, 1998",25.0,2,Georgia,1630471,
1611661329,2024,10,Diamond DeShields,Diamond,diamond-deshields,0,G,6-1,172,"MAR 05, 1995",29.0,5,Tennessee,1628890,
1611661329,2024,10,Elizabeth Williams,Elizabeth,elizabeth-williams,1,C-F,6-3,200,"JUN 23, 1993",31.0,9,Duke,204322,
1611661329,2024,10,Moriah Jefferson,Moriah,moriah-jefferson,4,G,5-6,130,"MAR 08, 1994",30.0,7,Connecticut,1627669,
1611661329,2024,10,Angel Reese,Angel,angel-reese,5,F,6-3,165,"MAY 06, 2002",22.0,R,Louisiana State,1642291,
1611661329,2024,10,Chennedy Carter,Chennedy,chennedy-carter,7,G,5-9,143,"NOV 14, 1998",25.0,3,Texas A&M,1630150,
1611661329,2024,10,Kamilla Cardoso,Kamilla,kamilla-cardoso,10,C,6-7,215,"APR 30, 2001",23.0,R,South Carolina,1642289,
1611661329,2024,10,Dana Evans,Dana,dana-evans,11,G,5-6,145,"AUG 01, 1998",26.0,3,Louisville,1630389,
1611661329,2024,10,Michaela Onyenwere,Michaela,michaela-onyenwere,12,F,6-0,178,"AUG 10, 1999",25.0,3,UCLA,1630446,
1611661329,2024,10,Lindsay Allen,Lindsay,lindsay-allen,15,G,5-8,145,"MAR 20, 1995",29.0,6,Notre Dame,1628263,
1611661329,2024,10,Isabelle Harrison,Isabelle,isabelle-harrison,20,F,6-3,183,"SEP 27, 1993",31.0,6,Tennessee,204330,
1611661329,2024,10,Brianna Turner,Brianna,brianna-turner,21,F,6-3,170,"JUL 05, 1996",28.0,5,Notre Dame,1629488,
1611661329,2024,10,Rachel Banham,Rachel,rachel-banham,24,G,5-10,181,"JUL 15, 1993",31.0,8,Minnesota,1627671,
1611661329,2024,10,Kaela Davis,Kaela,kaela-davis,33,F,6-2,180,"MAR 15, 1995",29.0,5,South Carolina,1628273,
1611661323,2024,10,Tiffany Mitchell,Tiffany,tiffany-mitchell,3,G,5-9,169,"SEP 23, 1994",30.0,8,South Carolina,1627676,
1611661323,2024,10,Marina Mabrey,Marina,marina-mabrey,4,G,5-11,170,"SEP 14, 1996",28.0,5,Notre Dame,1629497,
1611661323,2024,10,Olivia Nelson-Ododa,Olivia,olivia-nelson-ododa,10,C,6-5,176,"AUG 17, 2000",24.0,2,Connecticut,1631135,
1611661323,2024,10,DiJonai Carrington,DiJonai,dijonai-carrington,21,G-F,5-11,175,"JAN 08, 1998",26.0,3,Baylor,1630096,
1611661323,2024,10,Veronica Burton,Veronica,veronica-burton,22,G,5-9,155,"JUL 12, 2000",24.0,2,Northwestern,1631007,
1611661323,2024,10,DeWanna Bonner,DeWanna,dewanna-bonner,24,F-G,6-4,140,"AUG 21, 1987",37.0,14,Auburn,201886,
1611661323,2024,10,Alyssa Thomas,Alyssa,alyssa-thomas,25,F,6-2,203,"APR 12, 1992",32.0,10,Maryland,203826,
1611661323,2024,10,Brionna Jones,Brionna,brionna-jones,42,F,6-3,215,"DEC 18, 1995",28.0,7,Maryland,1628280,
1611661323,2024,10,Astou Ndour-Fall,Astou,astou-ndour-fall,45,C-F,6-5,173,"AUG 22, 1994",30.0,6,Gran Canaria,203838,
1611661323,2024,10,Caitlin Bickle,Caitlin,caitlin-bickle,51,F,6-1,,"MAY 05, 2000",24.0,R,Baylor,1641698,
1611661323,2024,10,Tyasha Harris,Tyasha,tyasha-harris,52,G,5-10,152,"MAY 01, 1998",26.0,4,South Carolina,1630112,
1611661321,2024,10,Satou Sabally,Satou,satou-sabally,0,F,6-4,175,"APR 25, 1998",26.0,4,Oregon,1630149,
