GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
1022300172,1611661323,Sun,CON,Connecticut,Starters,128.000000:24,22,48,0.458,5,10,0.5,11,18,0.611,5,12,17,14,5,3,9,11,60
1022300172,1611661323,Sun,CON,Connecticut,Bench,71.000000:36,8,23,0.348,2,3,0.667,6,7,0.857,5,9,14,3,2,0,4,12,24
1022300116,1611661323,Sun,CON,Connecticut,Starters,134.000000:28,26,51,0.51,6,18,0.333,9,13,0.692,6,15,21,16,4,1,4,7,67
1022300116,1611661323,Sun,CON,Connecticut,Bench,65.000000:32,8,18,0.444,0,2,0.0,1,4,0.25,2,7,9,10,3,0,6,7,17
1022300116,1611661329,Sky,CHI,Chicago,Starters,159.000000:03,20,51,0.392,6,14,0.429,13,17,0.765,7,22,29,14,5,6,12,14,59
1022300116,1611661329,Sky,CHI,Chicago,Bench,40.000000:55,5,11,0.455,2,6,0.333,1,1,1.0,0,2,2,5,1,1,4,3,13
1022300202,1611661320,Sparks,LAS,Los Angeles,Starters,171.000000:01,29,60,0.483,5,17,0.294,15,17,0.882,5,21,26,18,9,2,9,16,78
1022300202,1611661320,Sparks,LAS,Los Angeles,Bench,28.000000:59,2,5,0.4,1,1,1.0,0,0,0.0,0,1,1,1,0,1,0,3,5
1022300202,1611661330,Dream,ATL,Atlanta,Starters,163.000000:55,24,50,0.48,5,9,0.556,13,16,0.813,4,20,24,16,4,4,12,13,66
1022300202,1611661330,Dream,ATL,Atlanta,Bench,36.000000:05,6,12,0.5,0,1,0.0,0,0,0.0,2,3,5,1,2,0,3,4,12
1022300087,1611661313,Liberty,NYL,New York,Starters,128.000000:29,19,45,0.422,4,11,0.364,7,10,0.7,8,15,23,17,1,3,12,9,49
1022300087,1611661313,Liberty,NYL,New York,Bench,62.000000:40,9,16,0.563,4,9,0.444,4,5,0.8,0,6,6,4,2,0,2,4,26
1022300087,1611661319,Aces,LVA,Las Vegas,Starters,147.000000:52,31,54,0.574,8,17,0.471,8,8,1.0,3,16,19,28,6,1,6,11,78
1022300087,1611661319,Aces,LVA,Las Vegas,Bench,52.000000:08,9,15,0.6,1,4,0.25,1,2,0.5,1,7,8,4,4,0,1,4,20
1022300043,1611661324,Lynx,MIN,Minnesota,Starters,152.000000:29,21,50,0.42,4,12,0.333,14,18,0.778,6,25,31,11,4,3,11,10,60
1022300043,1611661324,Lynx,MIN,Minnesota,Bench,47.000000:31,3,13,0.231,1,4,0.25,2,2,1.0,0,7,7,6,1,0,2,4,9
1022300043,1611661325,Fever,IND,Indiana,Starters,134.000000:48,21,51,0.412,3,11,0.273,9,13,0.692,6,23,29,10,4,2,8,10,54
1022300043,1611661325,Fever,IND,Indiana,Bench,65.000000:12,7,18,0.389,3,9,0.333,0,0,0.0,0,5,5,8,0,0,3,10,17
1022300111,1611661324,Lynx,MIN,Minnesota,Starters,131.000000:04,24,47,0.511,6,9,0.667,4,5,0.8,2,11,13,15,2,1,7,7,58
1022300111,1611661324,Lynx,MIN,Minnesota,Bench,36.000000:29,3,11,0.273,1,4,0.25,0,4,0.0,1,7,8,2,1,1,2,5,7
1022300111,1611661319,Aces,LVA,Las Vegas,Starters,142.000000:21,34,52,0.654,14,25,0.56,8,12,0.667,5,20,25,27,6,9,8,4,90
1022300111,1611661319,Aces,LVA,Las Vegas,Bench,57.000000:39,9,20,0.45,3,14,0.214,2,2,1.0,2,7,9,4,3,2,3,7,23
