player_id,player_name,active_flag,rookie_year,last_season,tbd,active_team
100454,"Jones, Larecha",0,2000,2000,0,
100887,"Jones, Marion",0,2010,2011,0,
100092,"Jones, Merlakia",0,1997,2004,0,
1630120,"Jones, Stephanie",0,2021,2022,0,
100223,"Jordan, Pauline",0,1998,1998,0,
1641657,"Juhász, Dorka",1,2023,2024,0,lynx
1642534,"Kalu, Ezinne",1,2024,2024,0,dream
100251,"Kausaite, Aneta",0,1998,1998,0,
1629502,"Kea, Paris",0,2019,2020,0,
204352,"Kelley, Shae",0,2015,2015,0,
201494,"Kelly, Crystal",0,2008,2010,0,
204331,"Kiesel, Brianna",0,2015,2017,0,
101078,"King-Borchardt, Susan",0,2005,2005,0,
100626,"Kingi-Cross, Jae",0,2001,2006,0,
203041,"Kizer, Lynetta",0,2012,2018,0,
100737,"Klimesova, Zuzana",0,2002,2003,0,
1627682,"Knight, Whitney",0,2016,2016,0,
202318,"Kobryn, Ewelina",0,2011,2014,0,
101084,"Koehn, Laurie",0,2005,2012,0,
1631021,"Koné, Sika",1,2023,2024,0,mystics
100671,"Korstine, Ilona",0,2001,2001,0,
100055,"Koss, Greta",0,1997,1997,0,
100786,"Kostaki, Anastasia",0,2003,2006,0,
100186,"Kostic, Tanja",0,1998,2000,0,
101049,"Kraayeveld, Cathrine",0,2005,2013,0,
1630961,"Krajisnik, Tina",0,2022,2022,0,
100477,"Kubik, Nicole",0,2000,2001,0,
1630386,"Kuier, Awak",0,2021,2023,0,
100224,"Kuklova, Andrea",0,1998,1999,0,
202256,"Lacey, Alison",0,2010,2010,0,
101080,"Lacy, Jennifer",0,2006,2015,0,
201490,"Lacy, Natasha",0,2010,2014,0,
100425,"Lacy, Venus",0,1999,2000,0,
100207,"Lamb, Monica",0,1998,2000,0,
100726,"Lambert, Sheila",0,2002,2005,0,
204335,"Laney-Hamilton, Betnijah",1,2015,2024,0,liberty
100379,"Lang-Harris, Merlelynn",0,1999,1999,0,
201518,"Langhorne, Crystal",0,2008,2020,0,
100365,"Lara, Krystyna",0,1999,1999,0,
201503,"Larkins, Erlana",0,2008,2018,0,
100642,"Lassiter, Amanda",0,2001,2006,0,
201056,"Latta, Ivory",0,2007,2017,0,
202650,"Lavender, Jantel",0,2011,2022,0,
100874,"Lawson, Kara",0,2003,2015,0,
101018,"Lawson-Wade, Edwige",0,2005,2010,0,
100663,"Lazic, Katarina",0,2001,2001,0,
201898,"Lehning, Shalee",0,2009,2011,0,
100484,"Lennox, Betty",0,2000,2011,0,
1629506,"Leslie, Kiara",0,2019,2021,0,
100003,"Leslie, Lisa",0,1997,2009,0,
200715,"Leuchanka, Yelena",0,2006,2012,0,
100653,"Levandusky, Nicole",0,2001,2001,0,
100155,"Levesque, Nicole",0,1997,1997,0,
1628292,"Lewis, Breanna",0,2017,2018,0,
100931,"Lewis, Doneeka",0,2004,2011,0,
100754,"Lewis, TaKeisha",0,2002,2003,0,
100643,"Lewis, Tynesha",0,2001,2012,0,
101000,"Li jie, Miao",0,2005,2005,0,
100032,"Lieberman, Nancy",0,1997,2008,0,
202316,"Lilley, Taylor",0,2010,2010,0,
203870,"Lister, Jasmine",0,2015,2015,0,
203834,"Liston, Tricia",0,2014,2015,0,
100402,"Lloyd-Curry, Andrea",0,1999,2000,0,
100002,"Lobo, Rebecca",0,1997,2003,0,
204328,"Logic, Samantha",0,2015,2015,0,
1641661,"Lopez Sénéchal, Lou",1,2023,2024,0,wings
1628905,"Louis, Raigyne",0,2018,2018,0,
100470,"Lovelace, Stacey",0,2000,2008,0,
204319,"Loyd, Jewell",1,2015,2024,0,storm
203843,"Lucas, Maggie",0,2014,2018,0,
100675,"Luckey, Pat",0,2001,2001,0,
100694,"Luz, Helen",0,2001,2003,0,
101023,"Lyttle, Sancho",0,2005,2019,0,
100012,"Mabika, Mwadi",0,1997,2008,0,
1629497,"Mabrey, Marina",1,2019,2024,0,sun
203887,"Macaulay, Victoria",0,2015,2019,0,
100987,"Macchi, Laura",0,2003,2005,0,
100395,"Machanguana, Clarisse",0,1999,2002,0,
1630957,"Machida, Rui",0,2022,2022,0,
1630442,"Mack, Natasha",1,2021,2024,0,mercury
204298,"Madgen, Tess",0,2015,2015,0,
1629496,"Magbegor, Ezi",1,2020,2024,0,storm
101056,"Mahoney, Megan",0,2006,2007,0,
100512,"Mahoney, Shea",0,2000,2002,0,
100731,"Maiga-Ba, Hamchetou",0,2002,2010,0,
100518,"Malcolm, Nadine",0,2001,2002,0,
1630993,"Maley, Anneli",0,2022,2022,0,
100833,"Mallory, Sonja",0,2003,2003,0,
204326,"Malott, Ally",0,2015,2016,0,
201140,"Maltsi, Evanthia",0,2007,2007,0,
101029,"Mann, Kristen",0,2005,2010,0,
100063,"Manning, Sharon",0,1997,2000,0,
100060,"Mapp, Rhonda",0,1997,2003,0,
100570,"Marciniak, Michelle",0,2000,2002,0,
202276,"Marginean, Gabriela",0,2010,2010,0,
1642324,"Martin, Kate",1,2024,2024,0,aces
100485,"Martin, Maylana",0,2000,2001,0,
100945,"Martinez, Nuria",0,2004,2010,0,
100988,"Masciadri, Raffaella",0,2003,2008,0,
100557,"Massaline, Tonya",0,2000,2003,0,
203407,"Mathies, A'dia",0,2013,2013,0,
101064,"Matter, Caity",0,2005,2005,0,
101026,"Mattera, Katie",0,2005,2009,0,
1628906,"Mavunga, Stephanie",0,2018,2020,0,
100094,"Maxwell, Anita",0,1997,1997,0,
